Peak	FN_45	LN_45	N0_45	FN_60	LN_60	N0_60	FN_75	LN_75	N0_75
Analyte 106	0.000106964	1.97E-05	2.56E-05	0.000167058	2.68E-05	3.07E-05	3.25E-05	5.19E-05	3.38E-05
Analyte 107	1.39E-05	0.000121475	9.05E-05	1.72E-05	9.71E-05	0.000118259	6.56E-06	7.56E-05	6.69E-05
Maleimide	0.000345612	0.000628838	9.72E-05	0.000469806	0.000221976	8.30E-05	7.47E-05	0.000200908	0.000132415
Analyte 125	0.00043624	0.000523704	0.000346567	0.000312725	0.000494281	0.00050964	0.000415676	0.00056653	0.000509776
Analyte 130	3.76E-11	3.23E-05	4.57E-05	3.63E-11	9.30E-05	4.74E-05	4.14E-11	8.50E-05	4.09E-05
Analyte 131	0.000975291	0.001280969	0.000777733	0.001029241	0.001224644	0.001319188	0.001088719	0.001215811	0.001070475
Lactamide 2	1.79E-05	3.38E-05	2.21E-05	4.73E-06	4.61E-05	5.24E-05	2.98E-05	2.45E-05	3.05E-05
3-Hydroxypropionic acid 1	0.01090031	0.020136661	0.012637764	0.011360118	0.02182845	0.021241452	0.011267368	0.012043315	0.018145275
Analyte 157	1.30E-05	5.98E-06	1.07E-05	2.48E-05	8.75E-06	1.28E-05	3.97E-05	1.04E-05	1.02E-05
benzyl alcohol	9.65E-06	4.96E-05	4.08E-05	2.06E-05	2.41E-06	2.47E-05	3.45E-05	2.06E-05	2.29E-05
Methyl Phosphate	0.001704992	0.003459497	0.001964622	0.001697752	0.00250461	0.002168233	0.000280029	0.00156327	0.002364439
Analyte 176	0.000132562	0.000322695	0.000255094	0.000149869	0.000285056	0.000242608	0.000135164	0.000225099	0.000160656
Analyte 183	0.000734464	0.00015278	7.01E-05	0.000736541	0.000118905	0.000114524	0.000674983	0.00012747	6.81E-05
N-Ethylglycine 2	0.000425143	0.000450721	0.000467263	0.000209888	0.000551453	0.000664501	0.000490798	0.00049131	0.0005292
Analyte 189	1.92E-05	2.26E-05	1.80E-05	1.65E-05	3.78E-05	2.82E-05	1.84E-05	2.90E-05	2.98E-05
malonic acid 1	0.000281025	0.001661113	0.001758979	0.000409187	0.001806627	0.002241848	0.000356727	0.001010684	0.001611677
valine	0.000992418	0.000383087	0.000171217	0.00060172	0.000400272	0.000148818	0.000942867	0.000529478	0.000403995
